Sex,FamilySize,IsAlone,IsChild,HasCabin,FareLog,FarePerPerson,Pclass_1,Pclass_2,Pclass_3,Embarked_Q,Embarked_S,Title_Don,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Sex_x_Pclass1,Survived
0,0.07335229062787217,0,0,0,-0.8983234796079217,-0.472827188128303,False,False,True,False,True,False,False,False,True,False,False,0,0
1,0.07335229062787217,0,0,1,1.3436890793764515,0.4227750055843896,True,False,False,False,False,False,False,False,False,True,False,1,1
1,-0.5583460543187373,1,0,0,-0.8170847630620884,-0.35254322859585413,False,False,True,False,True,False,False,True,False,False,False,0,1
1,0.07335229062787217,0,0,1,1.0443667513097303,0.1684541542627179,True,False,False,False,True,False,False,False,False,True,False,1,1
0,-0.5583460543187373,1,0,0,-0.8027172900910506,-0.34904660186525965,False,False,True,False,True,False,False,False,True,False,False,0,0
0,-0.5583460543187373,1,0,0,-0.7571329586510297,-0.337625220312446,False,False,True,True,False,False,False,False,True,False,False,0,0
0,-0.5583460543187373,1,0,1,1.0204630411157376,0.8765210672080925,True,False,False,False,True,False,False,False,True,False,False,0,0
0,1.9684473254677004,0,1,0,0.11839332142775016,-0.4563231099598972,False,False,True,False,True,False,True,False,False,False,False,0,0
1,0.7050506355744817,0,0,0,-0.49985170813525875,-0.47041871163626947,False,False,True,False,True,False,False,False,False,True,False,0,1
1,0.07335229062787217,0,1,0,0.4714977871731756,-0.15364391095410432,False,True,False,False,False,False,False,False,False,True,False,0,1
1,0.7050506355744817,0,1,1,-0.10977789004758143,-0.41851291957973596,False,False,True,False,True,False,False,True,False,False,False,0,1
1,-0.5583460543187373,1,0,1,0.34726251575909495,0.1684541542627179,True,False,False,False,True,False,False,True,False,False,False,1,1
0,-0.5583460543187373,1,0,0,-0.8027172900910506,-0.34904660186525965,False,False,True,False,True,False,False,False,True,False,False,0,0
0,3.2318440153609194,0,0,0,0.5107772368542245,-0.44924993360200904,False,False,True,False,True,False,False,False,True,False,False,0,0
1,-0.5583460543187373,1,1,0,-0.8253120304442058,-0.35452371797606286,False,False,True,False,True,False,False,True,False,False,False,0,0
1,-0.5583460543187373,1,0,0,-0.15146096612865576,-0.12666114179945312,False,True,False,False,True,False,False,False,False,True,False,0,1
0,2.6001456704143098,0,1,0,0.439564432096984,-0.43844369194412425,False,False,True,True,False,False,True,False,False,False,False,0,0
0,-0.5583460543187373,1,0,0,-0.3520250326978165,-0.21058018333371975,False,True,False,False,True,False,False,False,True,False,False,0,1
1,0.07335229062787217,0,0,0,-0.03656436738729706,-0.32247223871274194,False,False,True,False,True,False,False,False,False,True,False,0,0
1,-0.5583460543187373,1,0,0,-0.901458549250232,-0.372124338287183,False,False,True,False,False,False,False,False,False,True,False,0,1
0,-0.5583460543187373,1,0,0,0.3264312852117051,0.15306899664810233,False,True,False,False,True,False,False,False,True,False,False,0,0
0,-0.5583460543187373,1,0,1,-0.3520250326978165,-0.21058018333371975,False,True,False,False,True,False,False,False,True,False,False,0,1
1,-0.5583460543187373,1,1,0,-0.8050942211818745,-0.3496284405532306,False,False,True,True,False,False,False,True,False,False,False,0,1
0,-0.5583460543187373,1,0,1,0.6378567709605387,0.41881262817328,True,False,False,False,True,False,False,False,True,False,False,0,1
1,1.9684473254677004,0,1,0,0.11839332142775016,-0.4563231099598972,False,False,True,False,True,False,False,True,False,False,False,0,0
1,3.2318440153609194,0,0,0,0.5143716893068679,-0.44880036730807543,False,False,True,False,True,False,False,False,False,True,False,0,1
0,-0.5583460543187373,1,0,0,-0.901458549250232,-0.372124338287183,False,False,True,False,False,False,False,False,True,False,False,0,0
0,2.6001456704143098,0,0,1,2.6817978384037495,0.6519210768795762,True,False,False,False,True,False,False,False,True,False,False,0,0
