Pclass,Sex,Age,Fare,Title,FamilySize,Embarked_Q,Embarked_S,Survived
3,0,-0.6119717068488918,-0.5035948611437696,0,0.07335229062787217,False,True,0
1,1,0.6304310683499038,0.734502563508859,2,0.07335229062787217,False,False,1
3,1,-0.3013710130491929,-0.4905435931060373,1,-0.5583460543187373,False,True,1
1,1,0.39748054800012966,0.38292460482664,2,0.07335229062787217,False,True,1
3,0,0.39748054800012966,-0.48812669161756833,0,-0.5583460543187373,False,True,0
3,0,0.0,-0.48023212459563336,0,-0.5583460543187373,True,False,0
1,0,1.8728338435486995,0.35899728009079734,0,-0.5583460543187373,False,True,0
3,0,-2.1649751758473865,-0.23628555651910413,3,1.9684473254677004,False,True,0
3,1,-0.2237208395992682,-0.428510432742398,2,0.7050506355744817,False,True,1
2,1,-1.2331730944482897,-0.06234985723935256,2,0.07335229062787217,False,False,1
3,1,-2.009674828947537,-0.32087710861551727,1,0.7050506355744817,False,True,1
1,1,2.1834345373483983,-0.13042527132416426,1,-0.5583460543187373,False,True,1
3,0,-0.7672720537487413,-0.48812669161756833,0,-0.5583460543187373,False,True,0
3,0,0.7080812417998286,-0.03906639506003812,0,3.2318440153609194,False,True,0
3,1,-1.2331730944482897,-0.49191252610910613,1,-0.5583460543187373,False,True,0
2,1,1.9504840169986242,-0.33441175695094333,2,-0.5583460543187373,False,True,1
3,0,-2.1649751758473865,-0.08063710066170397,3,2.6001456704143098,True,False,0
2,0,0.0,-0.39241739267419806,0,-0.5583460543187373,False,True,1
3,1,0.08687985420043072,-0.2957413331354402,2,0.07335229062787217,False,True,0
3,1,0.0,-0.5040782414414634,2,-0.5583460543187373,False,False,1
2,0,0.39748054800012966,-0.14105963787342762,0,-0.5583460543187373,False,True,0
2,0,0.3198303745502049,-0.39241739267419806,0,-0.5583460543187373,False,True,1
3,1,-1.1555229209983648,-0.4885288640252496,1,-0.5583460543187373,True,False,1
1,0,-0.14607066614934347,0.0426248752502123,0,-0.5583460543187373,False,True,1
3,1,-1.699074135147838,-0.23628555651910413,1,1.9684473254677004,False,True,0
3,1,0.6304310683499038,-0.03689118372041605,2,3.2318440153609194,False,True,1
3,0,0.0,-0.5040782414414634,0,-0.5583460543187373,False,False,0
1,0,-0.844922227198666,4.441385584263695,0,2.6001456704143098,False,True,0
3,1,0.0,-0.4914291458114123,1,-0.5583460543187373,True,False,1
3,0,0.0,-0.4911081812937436,0,-0.5583460543187373,False,True,0
1,0,0.7857314152497533,-0.10778760522256871,4,-0.5583460543187373,False,False,0
1,1,0.0,2.1892355694183183,2,0.07335229062787217,False,False,1
3,1,0.0,-0.49392725518989383,1,-0.5583460543187373,True,False,1
2,0,2.804635924947796,-0.440755422443577,0,-0.5583460543187373,False,True,0
1,0,-0.14607066614934347,0.9450146831545043,0,0.07335229062787217,False,False,0
1,0,0.9410317621496027,0.36165587172811325,0,0.07335229062787217,False,True,0
3,0,0.0,-0.5039970335514509,0,-0.5583460543187373,False,False,1
3,0,-0.6896218802988165,-0.48812669161756833,0,-0.5583460543187373,False,True,0
3,1,-0.9225724006485907,-0.2957413331354402,1,0.7050506355744817,False,True,0
3,1,-1.2331730944482897,-0.4264144957715976,1,0.07335229062787217,False,False,1
3,1,0.7857314152497533,-0.4605740146490223,2,0.07335229062787217,False,True,0
2,1,-0.2237208395992682,-0.23773569741218548,2,0.07335229062787217,False,True,0
3,0,0.0,-0.4911081812937436,0,-0.5583460543187373,False,False,0
2,1,-2.0873250023974617,0.16016749547981565,1,1.3367489805210908,False,False,1
3,1,-0.844922227198666,-0.4914291458114123,1,-0.5583460543187373,True,False,1
3,0,0.0,-0.48812669161756833,0,-0.5583460543187373,False,True,0
3,0,0.0,-0.3440793629048191,0,0.07335229062787217,True,False,0
3,1,0.0,-0.49392725518989383,1,-0.5583460543187373,True,False,1
3,0,0.0,-0.2246032214844406,0,0.7050506355744817,False,False,0
3,1,-0.9225724006485907,-0.2996083755169905,2,0.07335229062787217,False,True,0
3,0,-1.7767243085977626,0.123591075113922,3,2.6001456704143098,False,True,0
3,0,-0.6896218802988165,-0.4929604945945062,0,-0.5583460543187373,False,True,0
1,1,1.4845829762990759,0.8398001940372836,2,0.07335229062787217,False,False,1
2,1,-0.06842049269941873,-0.14105963787342762,2,0.07335229062787217,False,True,1
1,0,2.726985751497871,0.5546058183979476,0,0.07335229062787217,False,False,0
1,0,0.0,0.0426248752502123,0,-0.5583460543187373,False,True,1
2,1,-0.6896218802988165,-0.440755422443577,1,-0.5583460543187373,False,True,1
3,0,-0.1072455794243811,-0.5039970335514509,0,-0.5583460543187373,False,False,0
2,1,-1.9320246554976122,-0.10722301703486238,1,1.3367489805210908,False,True,1
3,0,-1.4661236147980639,0.2630462909985802,3,3.8635423603075285,False,True,0
